iter	Logloss
0	0.6910966017
1	0.6894232576
2	0.6882572439
3	0.6876197541
4	0.6854025893
5	0.6837212518
6	0.6824623591
7	0.6801128156
8	0.6793081781
9	0.6765436966
10	0.6755982743
11	0.6741098894
12	0.6725448435
13	0.6697553741
14	0.6686527826
15	0.665644306
16	0.6652165447
17	0.6638704661
18	0.662235615
19	0.6617057949
20	0.6597531698
21	0.6586510926
22	0.6558660529
23	0.6537648218
24	0.652030467
25	0.6494845305
26	0.6488067457
27	0.6480392338
28	0.64686313
29	0.6450108131
30	0.6431269792
31	0.6413385214
32	0.6394678216
33	0.6373901594
34	0.6356168149
35	0.6332023
36	0.6329282082
37	0.632197876
38	0.6316312564
39	0.6303682501
40	0.6286458563
41	0.6283287522
42	0.6265814573
43	0.6240403212
44	0.6221254804
45	0.62037485
46	0.6180808413
47	0.616162522
48	0.6151278927
49	0.6144154685
50	0.6134455508
51	0.6128798158
52	0.6108756543
53	0.6098090321
54	0.6083521149
55	0.6079767959
56	0.6065715193
57	0.6062074831
58	0.605937504
59	0.603537036
60	0.6018909476
61	0.6004531039
62	0.5991040536
63	0.5975048602
64	0.5958389943
65	0.5956777976
66	0.5939225494
67	0.5921132395
68	0.590674178
69	0.5881582887
70	0.5871418363
71	0.5866939754
72	0.5855099266
73	0.5836927983
74	0.5814260524
75	0.5796743007
76	0.5786678366
77	0.5776051546
78	0.5759033827
79	0.5743317244
80	0.5731292016
81	0.5724866415
82	0.5720586549
83	0.5702087812
84	0.5684675854
85	0.5669164334
86	0.5653385988
87	0.5640685961
88	0.5623482007
89	0.5605568646
90	0.5591542169
91	0.5577802966
92	0.5567727934
93	0.5554810509
94	0.5541012996
95	0.5528200675
96	0.5521815926
97	0.5503548295
98	0.548731548
99	0.54854187
100	0.5483502534
101	0.5479828214
102	0.5463996124
103	0.5448670609
104	0.5441772847
105	0.5430956804
106	0.5417155566
107	0.540587344
108	0.5404681293
109	0.5387143543
110	0.5384994685
111	0.5382162252
112	0.5367601231
113	0.53535224
114	0.5340109622
115	0.5331148517
116	0.5314947331
117	0.5312719354
118	0.5302327188
119	0.5301291429
120	0.5285104563
121	0.5270507523
122	0.5264493241
123	0.5249755142
124	0.5242929417
125	0.524099871
126	0.5231972004
127	0.5219410561
128	0.5218323845
129	0.5208115176
130	0.520004354
131	0.5197806503
132	0.5185924212
133	0.5167449241
134	0.5164975026
135	0.5151874328
136	0.5149344883
137	0.5140320524
138	0.5128969391
139	0.5115954678
140	0.5112572064
141	0.509993595
142	0.5084180859
143	0.5082038923
144	0.507354001
145	0.5064333407
146	0.5055260134
147	0.5040946433
148	0.5026642399
149	0.5014400046
150	0.5005902964
151	0.4992210781
152	0.4977805514
153	0.4976460664
154	0.4963692122
155	0.4961792541
156	0.4949715727
157	0.4935484535
158	0.492459536
159	0.4916005309
160	0.4903297953
161	0.4892250841
162	0.48862599
163	0.4875429373
164	0.4859766007
165	0.4847323009
166	0.4838638232
167	0.4826296871
168	0.4818783892
169	0.4813078082
170	0.480344815
171	0.4785662594
172	0.4772943866
173	0.4760392602
174	0.4758155521
175	0.4751817532
176	0.4737589576
177	0.4723416372
178	0.4713393891
179	0.4701599675
180	0.4695633768
181	0.4688554113
182	0.4679821148
183	0.4672663451
184	0.4661332124
185	0.464998131
186	0.4642845718
187	0.4627957938
188	0.4614715808
189	0.4604271943
190	0.4592872584
191	0.4591161418
192	0.4582820756
193	0.4580915293
194	0.4576649914
195	0.4563298469
196	0.4550305641
197	0.4544582919
198	0.4536976737
199	0.4527920948
200	0.4519645591
201	0.4509463868
202	0.450802577
203	0.4507350814
204	0.4499772687
205	0.4488736084
206	0.4475919334
207	0.4465687914
208	0.4456943601
209	0.4443243069
210	0.4431617983
211	0.4419591476
212	0.4418691155
213	0.4407856773
214	0.4402269081
215	0.4393973934
216	0.4386354895
217	0.4376992468
218	0.4368801767
219	0.4357547057
220	0.4342655419
221	0.4335621408
222	0.4326979943
223	0.4319340314
224	0.4310599958
225	0.4299310968
226	0.4298159304
227	0.4288520217
228	0.4280617697
229	0.427539788
230	0.4274952906
231	0.4267851019
232	0.4257318571
233	0.4257256348
234	0.425645105
235	0.4247927446
236	0.4245852584
237	0.4240210119
238	0.4233977452
239	0.4230344254
240	0.4219848579
241	0.4216389488
242	0.4206143077
243	0.4197166542
244	0.4188945569
245	0.418697764
246	0.4180799057
247	0.416725001
248	0.4155832353
249	0.4151196895
250	0.4142438296
251	0.4131559202
252	0.4120875291
253	0.4113110561
254	0.4102616482
255	0.4100586729
256	0.4093127357
257	0.4082915497
258	0.4077997479
259	0.4065842167
260	0.4065552391
261	0.4064672741
262	0.4058587206
263	0.4054486612
264	0.4053568462
265	0.4045638422
266	0.4030449611
267	0.4022949995
268	0.4014293352
269	0.4009517687
270	0.4009484777
271	0.4008001599
272	0.3999826379
273	0.3990034149
274	0.3989093106
275	0.3988422339
276	0.3983017551
277	0.3976146004
278	0.3964898132
279	0.3956726266
280	0.3948673831
281	0.394242764
282	0.3936228225
283	0.3926861744
284	0.3921260158
285	0.3909398812
286	0.3904122542
287	0.3899091877
288	0.3891088927
289	0.3887301517
290	0.3882922288
291	0.3871532837
292	0.3864477096
293	0.3858594599
294	0.3851046668
295	0.3841360299
296	0.3836753126
297	0.3832153815
298	0.3831347823
299	0.3826243241
300	0.3819756214
301	0.3809770223
302	0.3802037283
303	0.3795090425
304	0.3784664339
305	0.3777325171
306	0.3768971189
